id,code,representation,description
l10n_py_country_0,4,AFG,"Afganistán"
l10n_py_country_1,248,ALA,"Åland, Islas"
l10n_py_country_2,8,ALB,"Albania"
l10n_py_country_3,276,DEU,"Alemania"
l10n_py_country_4,20,AND,"Andorra"
l10n_py_country_5,24,AGO,"Angola"
l10n_py_country_6,660,AIA,"Anguila"
l10n_py_country_7,10,ATA,"Antártida"
l10n_py_country_8,28,ATG,"Antigua y Barbuda"
l10n_py_country_9,682,SAU,"Arabia Saudita"

l10n_py_country_10,12,DZA,"Argelia"
l10n_py_country_11,32,ARG,"Argentina"
l10n_py_country_12,51,ARM,"Armenia"
l10n_py_country_13,533,ABW,"Aruba"
l10n_py_country_14,36,AUS,"Australia"
l10n_py_country_15,40,AUT,"Austria"
l10n_py_country_16,31,AZE,"Azerbaiyán"
l10n_py_country_17,44,BHS,"Bahamas (las)"
l10n_py_country_18,50,BGD,"Bangladés"
l10n_py_country_19,52,BRB,"Barbados"
l10n_py_country_20,48,BHR,"Baréin"
l10n_py_country_21,56,BEL,"Bélgica"
l10n_py_country_22,84,BLZ,"Belice"
l10n_py_country_23,204,BEN,"Benín"
l10n_py_country_24,60,BMU,"Bermudas"
l10n_py_country_25,112,BLR,"Belarús"
l10n_py_country_26,68,BOL,"Bolivia (Estado Plurinacional de)"
l10n_py_country_27,535,BES,"Bonaire, San Eustaquio y Saba"
l10n_py_country_28,70,BIH,"Bosnia y Herzegovina"
l10n_py_country_29,72,BWA,"Botsuana"
l10n_py_country_30,76,BRA,"Brasil"
l10n_py_country_31,96,BRN,"Brunéi Darussalam"
l10n_py_country_32,100,BGR,"Bulgaria"
l10n_py_country_33,854,BFA,"Burkina Faso"
l10n_py_country_34,108,BDI,"Burundi"
l10n_py_country_35,64,BTN,"Bhután"
l10n_py_country_36,132,CPV,"Cabo Verde"
l10n_py_country_37,116,KHM,"Camboya"
l10n_py_country_38,120,CMR,"Camerún"
l10n_py_country_39,124,CAN,"Canadá"
l10n_py_country_40,634,QAT,"Catar"
