id,code,number,dec,description
l10n_py_currency_AED,AED,784,2,"Dírham de los Emiratos Árabes Unidos"
l10n_py_currency_AFN,AFN,971,2,"Afgani"
l10n_py_currency_ALL,ALL,8,2,"Lek"
l10n_py_currency_AMD,AMD,51,2,"Dram armenio"
l10n_py_currency_ANG,ANG,532,2,"Florín antillano neerlandés"
l10n_py_currency_AOA,AOA,973,2,"Kwanza angoleño"
l10n_py_currency_ARS,ARS,32,2,"Peso argentino"
l10n_py_currency_AUD,AUD,36,2,"Dólar australiano"
l10n_py_currency_AWG,AWG,533,2,"Florín arubeño"
l10n_py_currency_AZN,AZN,944,2,"Manat azerbaiyano"
l10n_py_currency_BAM,BAM,977,2,"Marco convertible"
l10n_py_currency_BBD,BBD,52,2,"Dólar barbadense"
l10n_py_currency_BDT,BDT,50,2,"Taka"
l10n_py_currency_BGN,BGN,975,2,"Lev búlgaro"
l10n_py_currency_BHD,BHD,48,3,"Dinar bareiní"
l10n_py_currency_BIF,BIF,108,0,"Franco de Burundi"
l10n_py_currency_BMD,BMD,60,2,"Dólar bermudeño"
l10n_py_currency_BND,BND,96,2,"Dólar de Brunéi"
l10n_py_currency_BOB,BOB,68,2,"Boliviano"
l10n_py_currency_BOV,BOV,984,2,"MVDOL"
l10n_py_currency_BRL,BRL,76,2,"Real brasileño"
l10n_py_currency_BSD,BSD,44,2,"Dólar bahameño"
l10n_py_currency_BTN,BTN,64,2,"Ngultrum"
l10n_py_currency_BWP,BWP,72,2,"Pula"
l10n_py_currency_BYN,BYN,933,2,"Rublo bielorruso"
l10n_py_currency_BZD,BZD,84,2,"Dólar beliceño"
l10n_py_currency_CAD,CAD,124,2,"Dólar canadiense"
l10n_py_currency_CDF,CDF,976,2,"Franco congoleño"
l10n_py_currency_CHE,CHE,947,2,"Euro WIR"
l10n_py_currency_CHF,CHF,756,2,"Franco suizo"
l10n_py_currency_CHW,CHW,948,2,"Franco WIR"
l10n_py_currency_CLF,CLF,990,4,"Unidad de fomento"
l10n_py_currency_CLP,CLP,152,0,"Peso chileno"
l10n_py_currency_CNY,CNY,156,2,"Yuan chino"
l10n_py_currency_COP,COP,170,2,"Peso colombiano"
l10n_py_currency_COU,COU,970,2,"Unidad de valor real"
l10n_py_currency_CRC,CRC,188,2,"Colón costarricense"
l10n_py_currency_CUP,CUP,192,2,"Peso cubano"
l10n_py_currency_CVE,CVE,132,2,"Escudo caboverdiano"
l10n_py_currency_CZK,CZK,203,2,"Corona checa"
l10n_py_currency_DJF,DJF,262,0,"Franco yibutiano"
l10n_py_currency_DKK,DKK,208,2,"Corona danesa"
l10n_py_currency_DOP,DOP,214,2,"Peso dominicano"
